_id,median_max_forward,median_max_reverse,plc,time
6334554a233402ab79d16b1f,23.6,190,59,2022-09-28T22:08:10.000Z
6334554b233402ab79d16b21,220.8,189.2,60,2022-09-28T22:08:10.000Z
6334634c233402ab79d16b23,-1,-1,2,2022-09-28T23:07:56.000Z
6334634c233402ab79d16b25,-1,-1,4,2022-09-28T23:07:56.000Z
6334634d233402ab79d16b27,-1,-1,5,2022-09-28T23:07:57.000Z
6334634d233402ab79d16b29,-1,-1,7,2022-09-28T23:07:57.000Z
6334634e233402ab79d16b2c,-1,-1,17,2022-09-28T23:07:58.000Z
63346350233402ab79d16b30,-1,-1,8,2022-09-28T23:08:00.000Z
63346351233402ab79d16b32,-1,-1,14,2022-09-28T23:08:01.000Z
63346352233402ab79d16b35,-1,-1,22,2022-09-28T23:08:02.000Z
63346352233402ab79d16b37,-1,-1,24,2022-09-28T23:08:02.000Z
63346352233402ab79d16b39,-1,-1,25,2022-09-28T23:08:02.000Z
63346352233402ab79d16b3b,-1,-1,28,2022-09-28T23:08:02.000Z
63346355233402ab79d16b40,-1,-1,37,2022-09-28T23:08:04.000Z
63346355233402ab79d16b42,-1,-1,38,2022-09-28T23:08:05.000Z
63346357233402ab79d16b46,118.5,103.5,44,2022-09-28T23:08:06.000Z
63346357233402ab79d16b48,-1,-1,45,2022-09-28T23:08:07.000Z
63346357233402ab79d16b4a,-1,-1,46,2022-09-28T23:08:07.000Z
63346358233402ab79d16b4e,-1,-1,50,2022-09-28T23:08:08.000Z
63346358233402ab79d16b50,-1,-1,51,2022-09-28T23:08:08.000Z
6334635a233402ab79d16b54,-1,-1,56,2022-09-28T23:08:10.000Z
6334635a233402ab79d16b56,-1,-1,57,2022-09-28T23:08:10.000Z
6334635b233402ab79d16b58,23.6,190,59,2022-09-28T23:08:10.000Z
6334635c233402ab79d16b5a,220.8,189.2,60,2022-09-28T23:08:11.000Z
63347166233402ab79d16b72,118.5,103.5,44,2022-09-29T00:08:05.000Z
6334716a233402ab79d16b7e,23.6,190,59,2022-09-29T00:08:09.000Z
6334716b233402ab79d16b80,220.8,189.2,60,2022-09-29T00:08:10.000Z
63347f6c233402ab79d16b82,-1,-1,2,2022-09-29T01:07:56.000Z
63347f6c233402ab79d16b84,-1,-1,4,2022-09-29T01:07:56.000Z
63347f6d233402ab79d16b86,-1,-1,5,2022-09-29T01:07:57.000Z
63347f6d233402ab79d16b88,-1,-1,7,2022-09-29T01:07:57.000Z
